State,INTEGER,CHAR,BOOLEAN,STRING,TYPE,EQUALS,ARRAY,LEFT_SQUARE,RIGHT_SQUARE,OF,STRUCT,LEFT_BRACES,RIGHT_BRACES,SEMI_COLON,COLON,FUNCTION,LEFT_PARENTHESIS,RIGHT_PARENTHESIS,COMMA,VAR,IF,ELSE,WHILE,DO,BREAK,CONTINUE,RETURN,AND,OR,LESS_THAN,GREATER_THAN,LESS_OR_EQUAL,GREATER_OR_EQUAL,EQUAL_EQUAL,NOT_EQUAL,PLUS,MINUS,TIMES,DIVIDE,PLUS_PLUS,MINUS_MINUS,NOT,DOT,TRUE,FALSE,CHARACTER,STRINGVAL,NUMERAL,ID,$,P,LDE,DE,T,DT,DC,DF,LP,B,LDV,LS,DV,LI,S,E,L,R,Y,F,LE,LV,TRU,FALS,CH,ST,NU,IDT,IDU,IDD,NB,NF,MA,ME,MC,MF,MT,MW
0, , , , ,s6, , , , , , , , , , ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,2, ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, , , , ,s6, , , , , , , , , , ,s5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,acc, , ,7, ,4, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2, , , , ,r2, , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3, , , , ,r3, , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4, , , , ,r4, , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , , , , , , , 
6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10, , , , , , , , 
7, , , , ,r1, , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8, , , , , , , , , , , , , , , , ,r82, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , 
9, , , , ,r80,r80, , , , , , , , ,r80,r80,r80, ,r80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r80, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10, , , , , ,s12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11, , , , , , , , , , , , , , , , ,s13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,s17,s18,s19,s20, , ,s14, , , ,s15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s22, , , , ,16, , , , , , , , , , , , , , , , , , , , , , , ,21, , , , , , , , , 
13, , , , , , , , , , , , , , , , , ,r18,r18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , ,23, , , , , , , , , , , , , , , , , , , , ,24, , , , , , , , 
14, , , , , , , ,s25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15, , , , , , , , , , , ,r81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26, , , , , , , 
16, , , , ,r12, , , , , , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17, , , , ,r5, , , , , , ,r5,r5,r5, ,r5, ,r5,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , , ,r6, , , , , , ,r6,r6,r6, ,r6, ,r6,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , , ,r7, , , , , , ,r7,r7,r7, ,r7, ,r7,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, , , , ,r8, , , , , , ,r8,r8,r8, ,r8, ,r8,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r8, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21, , , , ,r9, , , , , , ,r9,r9,r9, ,r9, ,r9,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,r9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22, , , , ,r79,r79, ,r79,r79, , ,r79,r79,r79, ,r79,r79,r79,r79, ,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79, ,r79, , , , , ,r79,r79, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , , , , , , , , , , , , , ,s27,s28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24, , , , , , , , , , , , , , ,s29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s31, , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, , , , , , , , , , , 
26, , , , , , , , , , , ,s32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27, , , , , , , , , , , , , , ,s33, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,s9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34, , , , , , , , 
